ply,depth,nodes,ebf,occupancy_pct,sec,fen
1990,10,410473,3.6419,99.9998,0.154,4R3/5kp1/7p/2P4P/1Pb1p3/4R2K/5r2/6r1 w - - 6 49
1995,10,3149,2.2378,99.9998,0.001,8/4k1p1/4R2p/2P4P/1P6/7K/5r2/6r1 b - - 0 51
2000,10,203725,3.3955,99.9998,0.068,8/6p1/2P4p/1P5P/5k2/7K/5r2/6r1 w - - 1 54
2005,10,553998,3.7528,99.9998,0.246,r1bq1rk1/pp1pppbp/2n2np1/8/2Pp4/2N2NPP/PP2PPB1/R1BQK2R w KQ - 0 8
2010,10,744489,3.8653,99.9998,0.319,r1bqr1k1/pp1pppbp/5np1/8/2PB4/2N3PP/PP2PPB1/R2QK2R b KQ - 0 10
2015,10,982790,3.9742,99.9998,0.397,r1b1r1k1/pp2qpbp/3p1np1/4p3/2P5/1PN1B1PP/P3PPB1/R2QK2R w KQ - 2 13
2020,10,1230121,4.0644,99.9998,0.541,r2r2k1/pp2qpbp/3p1np1/1N2pb2/2P5/1P2B1PP/P2QPPB1/3RK2R b K - 7 15
2025,10,973405,3.9704,99.9998,0.448,r2r2k1/pp2qpbp/3p2p1/1N2pb2/2P5/1P2BPPP/P2QP3/3RK2R w K - 1 18
2030,10,2153775,4.2985,99.9998,1.021,r2r2k1/ppq2pbp/3Nb1p1/2P1p3/1Q6/1P2BPPP/P3P3/3RK2R b K - 2 20
2035,10,1456634,4.1337,99.9998,0.623,r5k1/1pqr1p1p/3Nbbp1/p1P1p3/Q7/1P2BPPP/P3PK2/3R3R w - - 2 23
2040,10,1194623,4.0525,99.9998,0.536,5rk1/1pqr1p1p/3Nbbp1/p1P1p3/Q7/1P2BPPP/P2RP1K1/3R4 b - - 7 25
2045,10,952373,3.9617,99.9998,0.348,5rk1/1pq1rpb1/4b1p1/p1P1p2p/Q3N1P1/1P2BP1P/P2RP1K1/3R4 w - - 2 28
2050,10,1672350,4.1911,99.9998,0.748,4rrk1/1pq2pb1/1R2b1p1/p1P1p3/Q3N1P1/1P2BP2/P3P1K1/3R4 b - - 2 30
2055,10,1437514,4.1282,99.9998,0.551,1rb2rk1/1p2qpb1/1R4p1/p1P1p1N1/2Q3P1/1P2BP2/P3P1K1/3R4 w - - 7 33
2060,10,1732828,4.2061,99.9999,0.724,r4rk1/1p2qpb1/4b1R1/p1P1p1N1/4Q1P1/1P2BP2/P3P1K1/7R b - - 4 35
2065,10,2141344,4.296,99.9999,0.818,6k1/1p2q1b1/r3PrR1/p1P1p1N1/4Q3/1P2BP2/P3P1K1/7R w - - 1 38
2070,10,2201805,4.308,99.9999,0.879,5k2/1p2qNbR/r3P1Q1/p1P1p3/8/1P2BP2/P3P1K1/8 b - - 2 40
2075,10,40862445,5.7694,99.9999,14.838,8/1p2kNbR/r4qQ1/p1P3B1/4p3/1P3P2/P3P1K1/8 w - - 0 43
2080,10,14794901,5.2121,100.0,5.061,8/1p1k1NR1/r4BQ1/p1P5/8/1P3P2/P5K1/8 b - - 0 45
2085,10,80468211,6.1739,100.0,25.947,1k6/1p4R1/4NBQ1/p1P5/8/1P3P2/P5K1/8 w - - 1 48
2090,10,8043927,4.904,100.0,3.64,r1bqk2r/pp1nbppp/2n1p3/3pP3/3P1P2/5N2/PP2N1PP/R1BQKB1R b KQkq - 0 9
2095,10,6314677,4.7867,100.0,2.838,r1b2rk1/pp1nb1pp/1qn1pp2/3pP3/3P1P2/5NP1/PP2N1BP/R1BQK2R w KQ - 0 12
